"","MDS","StatusHistory","SerNum","PPC","AssignLoc","ReportingStatus","StartDateTime","NMCFlag","stop"
"45","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-11 12:00:00,"0",2015-04-15 02:00:00
"46","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-15 02:00:00,"1",2015-04-16 05:45:00
"47","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-04-16 05:45:00,"0",2015-04-17 01:54:00
"48","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-17 01:54:00,"1",2015-04-18 03:02:00
"49","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-04-18 03:02:00,"0",2015-04-21 00:45:00
"50","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-21 00:45:00,"1",2015-04-21 00:46:00
"51","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-21 00:46:00,"0",2015-04-21 00:47:00
"52","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-21 00:47:00,"1",2015-04-24 12:42:00
"53","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-24 12:42:00,"0",2015-04-27 22:30:00
"54","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-04-27 22:30:00,"1",2015-04-29 15:44:00
"55","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-04-29 15:44:00,"0",2015-05-01 03:37:00
"56","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-01 03:37:00,"1",2015-05-09 19:20:00
"57","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-09 19:20:00,"0",2015-05-11 00:30:00
"58","CV022B","NMCS","0200000024","TF","KIRTLAND","IR",2015-05-11 00:30:00,"1",2015-05-11 01:30:00
"59","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-11 01:30:00,"0",2015-05-12 02:25:00
"60","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-12 02:25:00,"1",2015-05-14 20:00:00
"61","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-14 20:00:00,"0",2015-05-15 01:00:00
"62","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-15 01:00:00,"1",2015-05-16 11:13:00
"63","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-16 11:13:00,"0",2015-05-18 23:40:00
"64","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-18 23:40:00,"1",2015-05-19 09:23:00
"65","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-19 09:23:00,"0",2015-05-19 12:40:00
"66","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-19 12:40:00,"1",2015-05-24 22:35:00
"67","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-24 22:35:00,"0",2015-05-26 15:20:00
"68","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-05-26 15:20:00,"1",2015-05-26 23:15:00
"69","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-26 23:15:00,"0",2015-05-27 23:05:00
"70","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-05-27 23:05:00,"1",2015-05-28 23:50:00
"71","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-05-28 23:50:00,"0",2015-06-01 21:50:00
"72","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-01 21:50:00,"1",2015-06-02 17:30:00
"73","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-02 17:30:00,"0",2015-06-03 03:00:00
"74","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-03 03:00:00,"1",2015-06-06 17:53:00
"75","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-06 17:53:00,"0",2015-06-09 22:30:00
"76","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-09 22:30:00,"1",2015-06-09 23:53:00
"77","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-09 23:53:00,"0",2015-06-10 03:50:00
"78","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-10 03:50:00,"1",2015-06-11 00:00:00
"79","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-11 00:00:00,"0",2015-06-12 07:45:00
"80","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-12 07:45:00,"1",2015-06-12 19:26:00
"81","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-12 19:26:00,"0",2015-06-16 02:00:00
"82","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-16 02:00:00,"1",2015-06-16 12:45:00
"83","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-16 12:45:00,"0",2015-06-17 17:17:00
"84","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-06-17 17:17:00,"1",2015-06-21 17:24:00
"85","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-21 17:24:00,"0",2015-06-22 13:06:00
"86","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-22 13:06:00,"1",2015-06-24 15:00:00
"87","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-06-24 15:00:00,"0",2015-06-25 12:50:00
"88","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-06-25 12:50:00,"1",2015-07-01 03:21:00
"89","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-01 03:21:00,"0",2015-07-07 19:33:00
"90","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-07 19:33:00,"1",2015-07-07 19:55:00
"91","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-07 19:55:00,"0",2015-07-08 00:00:00
"92","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-08 00:00:00,"1",2015-07-08 02:59:00
"93","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-08 02:59:00,"0",2015-07-09 07:39:00
"94","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-07-09 07:39:00,"1",2015-07-16 08:45:00
"95","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-16 08:45:00,"0",2015-07-16 18:38:00
"96","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-16 18:38:00,"1",2015-07-17 03:38:00
"97","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-17 03:38:00,"0",2015-07-17 05:10:00
"98","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-17 05:10:00,"1",2015-07-17 23:00:00
"99","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-17 23:00:00,"0",2015-07-21 03:40:00
"100","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-21 03:40:00,"1",2015-07-22 03:00:00
"101","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-22 03:00:00,"0",2015-07-23 02:00:00
"102","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-23 02:00:00,"1",2015-07-23 03:30:00
"103","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-23 03:30:00,"0",2015-07-23 04:50:00
"104","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-23 04:50:00,"1",2015-07-23 21:15:00
"105","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-23 21:15:00,"0",2015-07-24 01:30:00
"106","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-24 01:30:00,"1",2015-07-26 00:15:00
"107","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-26 00:15:00,"0",2015-07-27 22:17:00
"108","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-27 22:17:00,"1",2015-07-30 15:55:00
"109","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-30 15:55:00,"0",2015-07-31 00:30:00
"110","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-31 00:30:00,"1",2015-07-31 02:00:00
"111","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-31 02:00:00,"0",2015-07-31 04:00:00
"112","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-07-31 04:00:00,"1",2015-07-31 05:10:00
"113","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-07-31 05:10:00,"0",2015-08-05 08:00:00
"114","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-05 08:00:00,"1",2015-08-11 08:00:00
"115","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-11 08:00:00,"0",2015-08-12 10:40:00
"116","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-12 10:40:00,"1",2015-08-12 11:25:00
"117","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-12 11:25:00,"0",2015-08-12 22:05:00
"118","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-12 22:05:00,"1",2015-08-13 05:40:00
"119","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-13 05:40:00,"0",2015-08-13 07:50:00
"120","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-13 07:50:00,"1",2015-08-13 11:25:00
"121","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-13 11:25:00,"0",2015-08-14 10:16:00
"122","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-14 10:16:00,"1",2015-08-15 16:14:00
"123","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-15 16:14:00,"0",2015-08-17 23:30:00
"124","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-17 23:30:00,"1",2015-08-18 04:00:00
"125","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-18 04:00:00,"0",2015-08-19 00:00:00
"126","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-19 00:00:00,"1",2015-08-19 03:30:00
"127","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-19 03:30:00,"0",2015-08-20 00:00:00
"128","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-20 00:00:00,"1",2015-08-20 15:30:00
"129","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-20 15:30:00,"0",2015-08-20 17:36:00
"130","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-20 17:36:00,"1",2015-08-21 03:24:00
"131","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-21 03:24:00,"0",2015-08-21 14:28:00
"132","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-21 14:28:00,"1",2015-08-22 04:58:00
"133","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-22 04:58:00,"0",2015-08-26 01:42:00
"134","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-26 01:42:00,"1",2015-08-27 02:30:00
"135","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-27 02:30:00,"0",2015-08-27 06:30:00
"136","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-27 06:30:00,"1",2015-08-27 15:12:00
"137","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-27 15:12:00,"0",2015-08-28 11:30:00
"138","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-08-28 11:30:00,"1",2015-08-28 19:25:00
"139","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-08-28 19:25:00,"0",2015-08-29 03:55:00
"140","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-08-29 03:55:00,"1",2015-09-11 21:24:00
"141","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-09-11 21:24:00,"0",2015-09-12 01:40:00
"142","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-12 01:40:00,"1",2015-09-12 01:57:00
"143","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-09-12 01:57:00,"0",2015-09-17 07:45:00
"144","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-17 07:45:00,"1",2015-09-17 13:00:00
"145","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-09-17 13:00:00,"0",2015-09-18 01:00:00
"146","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-18 01:00:00,"1",2015-09-19 04:28:00
"147","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-09-19 04:28:00,"0",2015-09-22 11:00:00
"148","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-22 11:00:00,"1",2015-09-22 16:32:00
"149","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-09-22 16:32:00,"0",2015-09-24 06:10:00
"150","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-24 06:10:00,"1",2015-09-25 01:00:00
"151","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-09-25 01:00:00,"0",2015-09-29 12:00:00
"152","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-09-29 12:00:00,"1",2015-09-29 20:51:00
"153","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-09-29 20:51:00,"0",2015-10-07 01:55:00
"154","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-07 01:55:00,"1",2015-10-07 16:45:00
"155","CV022B","PMCM","0200000024","TF","KIRTLAND","IR",2015-10-07 16:45:00,"0",2015-10-07 19:19:00
"156","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-07 19:19:00,"1",2015-10-15 05:36:00
"157","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-15 05:36:00,"0",2015-10-22 22:07:00
"158","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-22 22:07:00,"1",2015-10-23 17:15:00
"159","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-23 17:15:00,"0",2015-10-24 00:55:00
"160","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-24 00:55:00,"1",2015-10-24 02:30:00
"161","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-24 02:30:00,"0",2015-10-24 04:55:00
"162","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-24 04:55:00,"1",2015-10-26 06:04:00
"163","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-26 06:04:00,"0",2015-10-26 06:05:00
"164","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-26 06:05:00,"1",2015-10-26 10:40:00
"165","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-26 10:40:00,"0",2015-10-26 17:15:00
"166","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-26 17:15:00,"1",2015-10-27 04:40:00
"167","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-27 04:40:00,"0",2015-10-27 18:02:00
"168","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-27 18:02:00,"1",2015-10-27 19:40:00
"169","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-27 19:40:00,"0",2015-10-28 08:57:00
"170","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-28 08:57:00,"1",2015-10-28 14:59:00
"171","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-28 14:59:00,"0",2015-10-28 16:30:00
"172","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-28 16:30:00,"1",2015-10-28 19:17:00
"173","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-28 19:17:00,"0",2015-10-28 22:00:00
"174","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-10-28 22:00:00,"1",2015-10-28 23:45:00
"175","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-10-28 23:45:00,"0",2015-10-29 06:14:00
"176","CV022B","NMCMS","0200000024","TF","KIRTLAND","IR",2015-10-29 06:14:00,"1",2015-11-04 00:30:00
"177","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-04 00:30:00,"0",2015-11-04 01:25:00
"178","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-04 01:25:00,"1",2015-11-04 02:20:00
"179","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-04 02:20:00,"0",2015-11-04 03:00:00
"180","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-04 03:00:00,"1",2015-11-05 12:50:00
"181","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-05 12:50:00,"0",2015-11-05 22:55:00
"182","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-05 22:55:00,"1",2015-11-10 20:45:00
"183","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-10 20:45:00,"0",2015-11-10 23:38:00
"184","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-10 23:38:00,"1",2015-11-11 00:10:00
"185","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-11 00:10:00,"0",2015-11-11 03:00:00
"186","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-11 03:00:00,"1",2015-11-17 18:04:00
"187","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-17 18:04:00,"0",2015-11-17 23:50:00
"188","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-17 23:50:00,"1",2015-11-18 06:00:00
"189","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-18 06:00:00,"0",2015-11-18 09:00:00
"190","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-18 09:00:00,"1",2015-11-18 12:00:00
"191","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-18 12:00:00,"0",2015-11-19 19:20:00
"192","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-19 19:20:00,"1",2015-11-20 02:15:00
"193","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-20 02:15:00,"0",2015-11-20 04:20:00
"194","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-20 04:20:00,"1",2015-11-20 09:00:00
"195","CV022B","PMCB","0200000024","TF","KIRTLAND","IR",2015-11-20 09:00:00,"0",2015-11-24 18:55:00
"196","CV022B","NMCMU","0200000024","TF","KIRTLAND","IR",2015-11-24 18:55:00,"1",2015-11-24 19:15:00
